Género,Edad,Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
10,18,Medellin,3,853395,0,3,5,musica,deporte
9,32,Medellin,7,1866639,0,3,7,musica,deporte
9,29,Medellin,5,792861,0,3,8,musica,cultura
9,25,Medellin,4,1008175,1,3,8,musica,cultura
10,18,Medellin,8,1609571,0,3,5,musica,cultura
9,27,Medellin,8,1262527,0,3,8,vida nocturna,deporte
9,35,Medellin,10,1145142,0,3,7,vida nocturna,cultura
9,21,Medellin,10,2477174,0,3,8,vida nocturna,deporte
10,20,Medellin,6,730011,0,3,5,vida nocturna,deporte
10,34,Medellin,3,1205605,1,3,5,musica,cultura
9,22,Medellin,5,1928292,1,3,8,musica,deporte
9,25,Medellin,4,1900959,1,3,7,musica,deporte
10,33,Medellin,3,1312850,1,3,5,vida nocturna,deporte
10,19,Medellin,4,1930271,1,3,5,musica,cultura
9,19,Medellin,3,1543149,1,3,7,musica,cultura
9,29,Medellin,5,1207842,1,3,8,musica,cultura
9,19,Medellin,4,1373011,1,3,8,vida nocturna,cultura
9,23,Medellin,3,778092,0,3,8,musica,cultura
9,35,Medellin,10,1361238,0,3,7,vida nocturna,cultura
9,35,Medellin,10,2002166,0,3,8,vida nocturna,cultura
9,28,Medellin,3,1425829,1,2,8,musica,cultura
9,19,Medellin,6,1375213,0,3,8,vida nocturna,cultura
9,22,Medellin,5,1686253,1,3,7,musica,deporte
10,35,Medellin,3,1879518,1,3,5,vida nocturna,cultura
10,27,Medellin,3,1142964,1,3,5,vida nocturna,cultura
9,32,Medellin,7,655121,0,4,7,vida nocturna,cultura
9,22,Medellin,5,1449255,1,3,8,vida nocturna,cultura
9,24,Medellin,4,1039064,1,3,7,vida nocturna,cultura
10,34,Medellin,5,972834,0,3,5,vida nocturna,deporte
10,31,Medellin,9,1376371,0,3,5,musica,cultura
10,30,Medellin,10,1064909,0,3,5,vida nocturna,deporte
10,31,Medellin,10,2823458,1,3,5,vida nocturna,cultura
10,23,Medellin,4,1899470,1,2,5,musica,cultura
9,27,Medellin,5,921317,0,3,8,musica,deporte
9,21,Medellin,10,1463441,0,3,8,vida nocturna,deporte
10,33,Medellin,10,1343693,0,3,5,vida nocturna,cultura
10,25,Medellin,7,1047807,0,3,5,musica,cultura
9,28,Medellin,6,1870338,0,3,7,musica,cultura
10,19,Medellin,3,1046458,1,3,5,musica,cultura
10,33,Medellin,9,1132548,0,3,5,musica,deporte
9,33,Medellin,5,705476,0,3,8,musica,deporte
9,20,Medellin,7,937490,0,3,7,vida nocturna,cultura
9,28,Medellin,9,1669084,0,3,8,musica,deporte
10,29,Medellin,6,1066568,0,3,5,musica,cultura
9,35,Medellin,10,2949040,1,3,8,musica,cultura
10,18,Medellin,9,930597,0,3,5,vida nocturna,deporte
10,22,Medellin,8,855704,0,3,5,musica,deporte
9,30,Medellin,9,1804339,0,3,7,musica,cultura
10,29,Medellin,5,1059035,1,3,5,musica,deporte
10,33,Medellin,7,930800,0,3,5,vida nocturna,cultura
10,33,Medellin,9,1763406,0,3,5,vida nocturna,deporte
10,23,Medellin,5,979972,0,3,5,musica,deporte
10,20,Medellin,4,1077044,1,3,5,vida nocturna,deporte
9,35,Medellin,10,2682028,1,3,8,musica,cultura
10,33,Medellin,10,2862405,1,2,5,vida nocturna,cultura
9,33,Medellin,5,1519919,1,2,8,vida nocturna,deporte
10,27,Medellin,6,1693086,0,3,5,musica,deporte
9,32,Medellin,5,636216,0,4,8,vida nocturna,cultura
9,25,Medellin,7,1751112,0,3,7,vida nocturna,deporte
10,23,Medellin,5,918613,0,3,5,vida nocturna,deporte
9,31,Medellin,6,1476285,0,3,8,musica,deporte
10,19,Medellin,10,1164814,0,3,5,vida nocturna,cultura
10,32,Medellin,3,990492,0,3,5,musica,deporte
9,20,Medellin,8,1310362,0,3,7,vida nocturna,cultura
9,29,Medellin,4,1997292,1,3,7,musica,cultura
9,29,Medellin,10,2817148,1,3,7,musica,deporte
9,33,Medellin,5,784910,0,3,7,vida nocturna,deporte
9,24,Medellin,5,811693,0,3,8,vida nocturna,cultura
10,31,Medellin,6,868749,0,3,5,musica,deporte
9,33,Medellin,7,1689844,0,3,7,vida nocturna,cultura
10,21,Medellin,5,654903,0,4,5,musica,deporte
10,19,Medellin,6,745814,0,3,5,musica,cultura
9,21,Medellin,7,834116,0,3,8,musica,cultura
10,27,Medellin,7,1974846,0,3,5,musica,cultura
9,27,Medellin,3,1966012,1,3,8,musica,cultura
9,25,Medellin,5,1706984,1,3,7,musica,cultura
9,18,Medellin,8,1946702,0,3,7,musica,cultura
9,33,Medellin,10,1326640,0,3,7,vida nocturna,deporte
9,21,Medellin,6,1960396,0,3,7,musica,deporte
10,28,Medellin,8,1737288,0,3,5,musica,cultura
10,19,Medellin,7,907620,0,3,5,vida nocturna,deporte
10,30,Medellin,10,2873937,1,3,5,musica,deporte
9,21,Medellin,10,1702817,0,3,7,vida nocturna,cultura
10,29,Medellin,9,1891246,0,3,5,musica,cultura
9,32,Medellin,8,1975834,0,3,8,musica,cultura
10,25,Medellin,3,1286607,1,3,5,musica,deporte
9,31,Medellin,7,1290463,0,3,7,vida nocturna,cultura
10,29,Medellin,4,580973,0,4,5,musica,deporte
9,19,Medellin,5,1732010,1,3,7,musica,deporte
10,18,Medellin,3,1832264,1,3,5,vida nocturna,deporte
9,25,Medellin,8,801774,0,3,7,musica,cultura
10,29,Medellin,5,1751987,1,3,5,musica,deporte
9,19,Medellin,6,1669829,0,3,8,musica,cultura
9,19,Medellin,8,1703718,0,3,7,musica,deporte
10,20,Medellin,10,2617779,1,3,5,vida nocturna,cultura
9,34,Medellin,3,1968316,1,2,8,musica,deporte
10,33,Medellin,8,1763498,0,3,5,vida nocturna,deporte
9,29,Medellin,6,1804118,0,3,7,musica,cultura
10,18,Medellin,10,1831963,0,3,5,musica,deporte
10,20,Medellin,7,918316,0,3,5,musica,deporte
10,29,Medellin,3,1931807,1,3,5,vida nocturna,cultura
9,33,Medellin,9,938362,0,3,7,musica,deporte
10,25,Medellin,10,2812713,1,3,5,musica,deporte
9,20,Medellin,5,1710297,1,2,8,musica,cultura
9,28,Medellin,8,654211,0,4,8,vida nocturna,deporte
10,34,Medellin,6,1277552,0,3,5,musica,cultura
9,22,Medellin,9,1763811,0,3,8,vida nocturna,cultura
10,23,Medellin,3,1679316,1,3,5,vida nocturna,deporte
10,25,Medellin,8,1907414,0,3,5,vida nocturna,deporte
9,31,Medellin,4,986177,0,3,7,vida nocturna,deporte
9,35,Medellin,4,1817620,1,3,8,vida nocturna,cultura
9,24,Medellin,4,1293314,1,3,7,vida nocturna,cultura
10,32,Medellin,8,1980678,0,3,5,vida nocturna,deporte
10,31,Medellin,7,764526,0,3,5,musica,deporte
9,27,Medellin,4,625232,0,4,8,vida nocturna,cultura
9,27,Medellin,10,2638314,1,3,8,musica,cultura
9,31,Medellin,8,1591247,0,3,7,vida nocturna,deporte
9,19,Medellin,9,1013920,0,3,7,vida nocturna,cultura
9,22,Medellin,7,766332,0,3,7,musica,cultura
10,29,Medellin,10,2480847,0,3,5,vida nocturna,cultura
9,25,Medellin,9,1666955,0,3,8,vida nocturna,deporte
10,23,Medellin,3,784290,0,3,5,vida nocturna,deporte
9,22,Medellin,10,2899265,1,3,8,vida nocturna,deporte
10,19,Medellin,4,651420,0,4,5,musica,deporte
9,24,Medellin,6,887202,0,3,7,musica,cultura
10,31,Medellin,8,1067357,0,3,5,vida nocturna,cultura
10,35,Medellin,5,1573927,1,3,5,vida nocturna,deporte
10,22,Medellin,5,862388,0,3,5,musica,deporte
10,26,Medellin,10,1144469,0,3,5,musica,deporte
9,18,Medellin,9,974570,0,3,7,vida nocturna,deporte
9,21,Medellin,7,543181,0,4,7,musica,cultura
9,35,Medellin,10,1969956,0,3,8,musica,cultura
10,33,Medellin,9,1371200,0,3,5,vida nocturna,cultura
9,30,Medellin,6,1384245,0,3,8,musica,cultura
10,22,Medellin,10,1281691,0,3,5,vida nocturna,cultura
9,25,Medellin,9,1405225,0,3,8,musica,cultura
9,23,Medellin,3,1104860,1,3,7,musica,cultura
10,23,Medellin,10,2412094,0,3,5,musica,deporte
9,24,Medellin,4,1678988,1,2,7,vida nocturna,cultura
9,19,Medellin,4,1023491,1,3,7,vida nocturna,deporte
9,29,Medellin,9,1563134,0,3,7,vida nocturna,deporte
10,25,Medellin,6,526774,0,4,5,vida nocturna,cultura
10,22,Medellin,10,1291801,0,3,5,musica,deporte
10,30,Medellin,10,2401358,0,3,5,musica,deporte
9,21,Medellin,3,1363305,1,2,7,musica,cultura
9,30,Medellin,4,1191565,1,3,8,musica,deporte
9,30,Medellin,4,1793504,1,3,8,vida nocturna,deporte
9,27,Medellin,9,1814254,0,3,8,vida nocturna,cultura
9,33,Medellin,10,2438886,0,3,7,musica,cultura
10,25,Medellin,6,617601,0,4,5,musica,cultura
9,18,Medellin,3,1482494,1,3,8,musica,cultura
9,18,Medellin,5,894974,0,3,8,vida nocturna,deporte
9,21,Medellin,5,914085,0,3,8,musica,deporte
9,22,Medellin,5,527555,0,4,7,musica,deporte
10,29,Medellin,3,1227213,1,3,5,vida nocturna,cultura
10,26,Medellin,10,1102591,0,3,5,musica,cultura
9,31,Medellin,8,874070,0,3,7,musica,cultura
9,35,Medellin,3,1058509,1,3,8,vida nocturna,deporte
10,20,Medellin,3,1945204,1,3,5,vida nocturna,deporte
10,25,Medellin,9,612884,0,4,5,vida nocturna,deporte
10,21,Medellin,5,1203124,1,3,5,vida nocturna,cultura
10,25,Medellin,4,1330933,1,3,5,musica,deporte
9,24,Medellin,5,1362989,1,3,7,vida nocturna,cultura
9,29,Medellin,3,992696,0,3,7,musica,cultura
10,19,Medellin,4,1777146,1,3,5,musica,cultura
10,30,Medellin,7,832942,0,3,5,vida nocturna,cultura
10,18,Medellin,8,1843978,0,3,5,musica,deporte
9,21,Medellin,10,2392922,0,3,8,vida nocturna,deporte
10,35,Medellin,8,1124835,0,3,5,musica,cultura
9,32,Medellin,8,929479,0,3,7,vida nocturna,cultura
9,24,Medellin,6,1469075,0,3,7,musica,cultura
9,30,Medellin,8,564221,0,4,7,vida nocturna,deporte
9,33,Medellin,7,1086682,0,3,7,musica,deporte
9,28,Medellin,7,1984157,0,3,8,vida nocturna,cultura
9,26,Medellin,5,1676720,1,3,8,musica,cultura
10,30,Medellin,3,606582,0,4,5,vida nocturna,cultura
9,21,Medellin,7,1059810,0,3,7,musica,deporte
10,31,Medellin,7,1931257,0,3,5,musica,cultura
9,27,Medellin,10,1637299,0,3,7,musica,cultura
9,22,Medellin,8,1540588,0,3,8,musica,deporte
9,19,Medellin,4,1921563,1,3,7,vida nocturna,deporte
9,30,Medellin,5,1686288,1,3,8,vida nocturna,cultura
9,29,Medellin,3,676446,0,4,8,vida nocturna,cultura
9,18,Medellin,6,1896845,0,3,7,vida nocturna,cultura
10,19,Medellin,8,1956485,0,3,5,vida nocturna,cultura
10,22,Medellin,9,943397,0,3,5,musica,deporte
10,26,Medellin,7,1702526,0,3,5,musica,deporte
9,34,Medellin,9,1275169,0,3,8,musica,cultura
10,26,Medellin,6,1093827,0,3,5,musica,deporte
9,24,Medellin,6,1519734,0,3,7,musica,deporte
10,34,Medellin,6,1654083,0,3,5,musica,cultura
9,31,Medellin,5,1938390,1,3,7,musica,cultura
9,32,Medellin,3,1040519,1,3,8,musica,deporte
9,30,Medellin,5,1727881,1,3,7,musica,deporte
9,26,Medellin,5,752741,0,3,8,musica,cultura
10,34,Medellin,4,1703288,1,3,5,vida nocturna,cultura
9,28,Medellin,6,811397,0,3,7,vida nocturna,deporte
9,20,Medellin,7,1969922,0,3,7,musica,cultura
10,32,Medellin,6,1250663,0,3,5,vida nocturna,deporte
9,34,Medellin,8,1256522,0,3,8,vida nocturna,cultura
10,30,Medellin,9,1142437,0,3,5,vida nocturna,cultura
9,26,Medellin,9,1090060,0,3,8,vida nocturna,deporte
10,18,Medellin,9,1704567,0,3,5,musica,cultura
9,21,Medellin,10,1309862,0,3,8,musica,deporte
10,20,Medellin,7,1903680,0,3,5,musica,cultura
10,30,Medellin,3,892248,0,3,5,musica,cultura
10,33,Medellin,9,1367880,0,3,5,musica,deporte
9,27,Medellin,4,1917049,1,3,7,musica,deporte
10,23,Medellin,5,1306410,1,3,5,vida nocturna,deporte
9,31,Medellin,4,1248481,1,3,8,vida nocturna,cultura
9,25,Medellin,8,1089356,0,3,7,vida nocturna,cultura
9,31,Medellin,7,1196340,0,3,7,vida nocturna,cultura
10,29,Medellin,4,1257939,1,3,5,musica,deporte
9,19,Medellin,6,1737299,0,3,7,musica,deporte
10,33,Medellin,7,1089687,0,3,5,vida nocturna,deporte
9,29,Medellin,6,1004581,0,3,7,vida nocturna,deporte
9,20,Medellin,4,514732,0,4,8,vida nocturna,deporte
9,30,Medellin,3,1593650,1,3,8,vida nocturna,deporte
10,29,Medellin,8,1957032,0,3,5,vida nocturna,deporte
10,25,Medellin,6,1565091,0,3,5,vida nocturna,cultura
10,18,Medellin,7,1528572,0,3,5,musica,deporte
10,31,Medellin,6,793884,0,3,5,vida nocturna,deporte
9,32,Medellin,4,1835069,1,3,7,vida nocturna,cultura
9,19,Medellin,4,1692540,1,3,7,vida nocturna,cultura
10,21,Medellin,8,844317,0,3,5,vida nocturna,deporte
9,32,Medellin,9,1883932,0,3,8,musica,cultura
10,22,Medellin,6,1098701,0,3,5,musica,deporte
10,18,Medellin,6,1422525,0,3,5,musica,cultura
9,29,Medellin,5,1453124,1,3,8,musica,cultura
9,20,Medellin,5,729120,0,3,8,vida nocturna,deporte
9,34,Medellin,5,791599,0,3,7,musica,deporte
9,28,Medellin,4,1494342,1,3,7,vida nocturna,cultura
10,28,Medellin,10,1782503,0,3,5,musica,cultura
9,18,Medellin,4,1188356,1,3,7,musica,deporte
10,33,Medellin,6,1620990,0,3,5,vida nocturna,cultura
10,25,Medellin,10,1236102,0,3,5,vida nocturna,deporte
9,22,Medellin,5,1925321,1,3,8,musica,deporte
10,27,Medellin,6,970387,0,3,5,vida nocturna,deporte
9,34,Medellin,8,1526052,0,3,8,vida nocturna,cultura
9,29,Medellin,10,1150006,0,3,8,vida nocturna,cultura
10,31,Medellin,8,593319,0,4,5,musica,deporte
9,35,Medellin,8,514034,0,4,7,vida nocturna,deporte
10,28,Medellin,5,1680591,1,3,5,vida nocturna,deporte
10,23,Medellin,7,524057,0,4,5,musica,cultura
9,35,Medellin,3,1587289,1,3,8,musica,cultura
10,30,Medellin,9,860253,0,3,5,vida nocturna,cultura
9,21,Medellin,5,698180,0,4,7,vida nocturna,deporte
10,31,Medellin,8,1729055,0,3,5,vida nocturna,cultura
10,30,Medellin,10,1949393,0,3,5,musica,cultura
9,33,Medellin,10,2452413,0,3,8,musica,deporte
9,31,Medellin,7,707468,0,3,7,vida nocturna,cultura
10,21,Medellin,4,1701677,1,3,5,musica,deporte
10,34,Medellin,10,2369974,0,3,5,vida nocturna,deporte
10,19,Medellin,7,1725681,0,3,5,musica,deporte
10,29,Medellin,6,843355,0,3,5,musica,deporte
9,28,Medellin,10,1417377,0,3,8,vida nocturna,cultura
9,25,Medellin,5,1809379,1,3,7,musica,cultura
10,31,Medellin,9,1790057,0,3,5,vida nocturna,deporte
10,21,Medellin,3,1759368,1,3,5,vida nocturna,deporte
10,30,Medellin,9,1010410,0,3,5,musica,cultura
9,22,Medellin,4,1340671,1,3,7,musica,cultura
9,21,Medellin,10,2957988,1,3,8,musica,deporte
10,34,Medellin,5,1235951,1,2,5,musica,deporte
9,22,Medellin,9,1431222,0,3,7,musica,deporte
9,27,Medellin,4,522121,0,4,7,vida nocturna,deporte
9,30,Medellin,7,1065486,0,3,7,musica,cultura
9,28,Medellin,7,1442782,0,3,8,musica,deporte
10,20,Medellin,7,1969958,0,3,5,vida nocturna,deporte
10,34,Medellin,10,2697040,1,3,5,musica,deporte
9,24,Medellin,8,613367,0,4,8,vida nocturna,cultura
9,19,Medellin,3,1146686,1,3,8,musica,cultura
9,24,Medellin,5,1711886,1,3,7,vida nocturna,deporte
10,30,Medellin,8,501401,0,4,5,vida nocturna,deporte
10,28,Medellin,7,1029375,0,3,5,vida nocturna,cultura
9,22,Medellin,8,1364892,0,3,7,vida nocturna,deporte
9,18,Medellin,8,573859,0,4,8,musica,deporte
10,30,Medellin,5,734993,0,3,5,vida nocturna,cultura
10,23,Medellin,10,2844552,1,3,5,musica,deporte
9,22,Medellin,8,657088,0,4,7,vida nocturna,deporte
10,35,Medellin,6,679118,0,4,5,musica,cultura
9,28,Medellin,3,539338,0,4,7,vida nocturna,cultura
10,18,Medellin,5,1345475,1,3,5,vida nocturna,cultura
10,24,Medellin,3,1376501,1,3,5,musica,cultura
9,29,Medellin,5,1112741,1,3,7,vida nocturna,cultura
9,25,Medellin,9,1831451,0,3,7,vida nocturna,deporte
9,20,Medellin,6,522512,0,4,8,musica,cultura
10,26,Medellin,7,791833,0,3,5,musica,deporte
10,28,Medellin,6,512213,0,4,5,musica,cultura
10,26,Medellin,6,1005454,0,3,5,vida nocturna,cultura
10,26,Medellin,6,1598050,0,3,5,vida nocturna,cultura
10,31,Medellin,5,983586,0,3,5,musica,deporte
9,30,Medellin,10,1824373,0,3,8,vida nocturna,cultura
9,31,Medellin,4,1517000,1,3,7,vida nocturna,deporte
10,30,Medellin,8,1392395,0,3,5,musica,cultura
10,19,Medellin,3,1910204,1,3,5,vida nocturna,cultura
10,31,Medellin,9,1398728,0,3,5,musica,cultura
10,32,Medellin,6,1129207,0,3,5,musica,deporte
10,26,Medellin,3,1918133,1,3,5,musica,cultura
10,27,Medellin,10,2621508,1,3,5,vida nocturna,deporte
9,32,Medellin,7,1609379,0,3,8,vida nocturna,deporte
9,25,Medellin,8,854662,0,3,7,vida nocturna,cultura
9,34,Medellin,6,1253724,0,3,7,musica,cultura
9,19,Medellin,9,914733,0,3,8,musica,cultura
10,29,Medellin,6,1022800,0,3,5,vida nocturna,deporte
10,33,Medellin,8,1854574,0,3,5,vida nocturna,deporte
10,21,Medellin,5,1117335,1,3,5,vida nocturna,cultura
9,21,Medellin,10,2054797,0,3,8,musica,cultura
10,31,Medellin,5,1346683,1,2,5,musica,deporte
10,26,Medellin,9,1499837,0,3,5,musica,cultura
10,29,Medellin,3,775470,0,3,5,musica,cultura
10,34,Medellin,10,1944812,0,3,5,vida nocturna,cultura
10,29,Medellin,5,680461,0,4,5,musica,cultura
9,23,Medellin,7,1923143,0,3,8,vida nocturna,cultura
10,20,Medellin,6,587329,0,4,5,vida nocturna,cultura
9,19,Medellin,3,604040,0,4,8,musica,deporte
9,25,Medellin,6,1426501,0,3,7,vida nocturna,cultura
9,33,Medellin,4,910428,0,3,8,musica,cultura
10,30,Medellin,8,561949,0,4,5,musica,cultura
9,19,Medellin,3,753283,0,3,8,vida nocturna,cultura
9,26,Medellin,3,1609182,1,3,7,musica,cultura
9,35,Medellin,9,1077283,0,3,8,vida nocturna,cultura
9,27,Medellin,8,1160865,0,3,7,vida nocturna,deporte
9,18,Medellin,5,1964039,1,3,7,musica,deporte
9,31,Medellin,5,1121499,1,3,7,vida nocturna,cultura
9,33,Medellin,10,2354378,0,3,7,vida nocturna,deporte
10,25,Medellin,5,1861626,1,2,5,vida nocturna,cultura
9,33,Medellin,6,1548643,0,3,7,vida nocturna,cultura
9,30,Medellin,3,1935594,1,3,7,vida nocturna,deporte
9,24,Medellin,5,1431198,1,3,7,musica,deporte
9,29,Medellin,3,793606,0,3,7,vida nocturna,deporte
9,35,Medellin,3,1520976,1,3,7,vida nocturna,deporte
10,31,Medellin,7,1859389,0,3,5,musica,deporte
10,23,Medellin,10,2304122,0,3,5,vida nocturna,deporte
10,27,Medellin,10,1129786,0,3,5,musica,deporte
9,23,Medellin,4,798363,0,3,8,musica,cultura
9,31,Medellin,5,1031102,1,3,7,vida nocturna,cultura
10,24,Medellin,3,1309556,1,3,5,vida nocturna,deporte
9,24,Medellin,6,1106141,0,3,8,vida nocturna,deporte
10,26,Medellin,9,880238,0,3,5,vida nocturna,deporte
9,18,Medellin,4,1722985,1,3,8,musica,cultura
10,18,Medellin,10,2247456,0,3,5,vida nocturna,deporte
10,18,Medellin,6,1502135,0,3,5,musica,deporte
9,30,Medellin,9,937729,0,3,8,vida nocturna,cultura
10,22,Medellin,6,719727,0,3,5,musica,deporte
9,32,Medellin,3,1566673,1,3,7,vida nocturna,deporte
10,29,Medellin,9,1100413,0,3,5,musica,cultura
9,20,Medellin,6,500124,0,4,7,musica,cultura
9,22,Medellin,9,1270237,0,3,8,vida nocturna,deporte
9,32,Medellin,7,1471126,0,3,7,musica,deporte
10,23,Medellin,3,510542,0,4,5,vida nocturna,cultura
10,28,Medellin,3,700531,0,3,5,musica,cultura
9,30,Medellin,4,1667835,1,3,7,musica,deporte
10,24,Medellin,3,1859828,1,3,5,vida nocturna,cultura
10,25,Medellin,8,1988230,0,3,5,vida nocturna,cultura
10,18,Medellin,8,725667,0,3,5,vida nocturna,deporte
9,22,Medellin,7,1112874,0,3,7,vida nocturna,cultura
9,19,Medellin,4,1030936,1,3,8,vida nocturna,cultura
9,31,Medellin,9,853291,0,3,7,musica,deporte
10,34,Medellin,8,1138085,0,3,5,musica,cultura
10,28,Medellin,9,1117264,0,3,5,vida nocturna,deporte
10,33,Medellin,10,2640703,1,3,5,vida nocturna,cultura
9,22,Medellin,8,915413,0,3,7,musica,cultura
10,22,Medellin,6,1444382,0,3,5,vida nocturna,deporte
10,33,Medellin,6,1800747,0,3,5,vida nocturna,deporte
9,32,Medellin,5,523207,0,4,8,musica,cultura
10,21,Medellin,6,1961837,0,3,5,musica,deporte
10,34,Medellin,4,1449666,1,3,5,musica,deporte
9,21,Medellin,6,1245025,0,3,8,musica,deporte
9,24,Medellin,5,966156,0,3,8,vida nocturna,cultura
9,33,Medellin,6,1486589,0,3,8,musica,cultura
10,25,Medellin,3,765862,0,3,5,musica,deporte
9,25,Medellin,9,1338989,0,3,7,musica,cultura
10,31,Medellin,4,1804167,1,3,5,musica,cultura
10,24,Medellin,7,896524,0,3,5,vida nocturna,deporte
10,32,Medellin,4,893653,0,3,5,vida nocturna,cultura
10,27,Medellin,10,1389145,0,3,5,vida nocturna,deporte
9,23,Medellin,7,790117,0,3,7,musica,cultura
9,18,Medellin,9,1584118,0,3,7,vida nocturna,cultura
10,32,Medellin,4,1833600,1,3,5,vida nocturna,deporte
10,23,Medellin,5,1142471,1,3,5,vida nocturna,cultura
9,24,Medellin,3,712059,0,3,8,musica,cultura
9,32,Medellin,5,502903,0,4,7,musica,deporte
9,25,Medellin,5,1069685,1,3,7,musica,deporte
9,31,Medellin,4,1049613,1,3,7,vida nocturna,cultura
10,27,Medellin,5,1971618,1,3,5,vida nocturna,deporte
9,19,Medellin,9,668258,0,4,7,vida nocturna,deporte
9,23,Medellin,8,751490,0,3,8,vida nocturna,cultura
9,30,Medellin,4,863973,0,3,7,musica,cultura
10,18,Medellin,9,1618121,0,3,5,vida nocturna,cultura
9,26,Medellin,4,1647409,1,3,7,vida nocturna,cultura
10,24,Medellin,5,881402,0,3,5,vida nocturna,deporte
10,28,Medellin,4,1470751,1,3,5,musica,cultura
10,31,Medellin,5,1596822,1,3,5,musica,cultura
9,33,Medellin,9,1827735,0,3,7,musica,cultura
9,28,Medellin,7,653195,0,4,7,musica,deporte
9,28,Medellin,6,640004,0,4,8,vida nocturna,cultura
9,22,Medellin,10,1107604,0,3,7,vida nocturna,deporte
10,25,Medellin,6,1855835,0,3,5,vida nocturna,deporte
9,33,Medellin,8,513392,0,4,8,musica,deporte
9,31,Medellin,4,879037,0,3,8,musica,cultura
9,25,Medellin,5,837986,0,3,8,vida nocturna,deporte
9,19,Medellin,10,1834741,0,3,8,vida nocturna,cultura
10,27,Medellin,6,1542213,0,3,5,vida nocturna,cultura
10,19,Medellin,9,1948629,0,3,5,musica,cultura
10,33,Medellin,9,1426080,0,3,5,musica,deporte
9,34,Medellin,7,670827,0,4,7,musica,deporte
10,18,Medellin,5,1598026,1,3,5,musica,cultura
9,32,Medellin,10,1202909,0,3,7,musica,cultura
10,35,Medellin,3,1410737,1,3,5,musica,deporte
10,18,Medellin,3,1195146,1,3,5,musica,cultura
10,18,Medellin,6,1280158,0,3,5,musica,deporte
9,19,Medellin,10,2928480,1,3,7,musica,deporte
9,22,Medellin,3,520463,0,4,8,vida nocturna,cultura
9,25,Medellin,5,679430,0,4,8,vida nocturna,deporte
9,30,Medellin,9,1250669,0,3,7,vida nocturna,cultura
10,22,Medellin,4,1723715,1,3,5,musica,deporte
10,34,Medellin,5,694997,0,4,5,vida nocturna,deporte
9,20,Medellin,4,1138708,1,3,8,musica,cultura
9,20,Medellin,10,1485505,0,3,8,vida nocturna,cultura
9,25,Medellin,4,1915605,1,3,8,musica,deporte
9,27,Medellin,4,511670,0,4,7,musica,cultura
9,32,Medellin,8,1769158,0,3,7,vida nocturna,deporte
9,21,Medellin,5,834414,0,3,7,vida nocturna,deporte
9,22,Medellin,3,793893,0,3,7,vida nocturna,cultura
10,20,Medellin,4,1287160,1,3,5,vida nocturna,cultura
10,31,Medellin,6,1944479,0,3,5,vida nocturna,deporte
9,23,Medellin,9,1663530,0,3,8,musica,deporte
10,19,Medellin,8,1966127,0,3,5,musica,deporte
10,27,Medellin,10,2774318,1,3,5,vida nocturna,deporte
9,18,Medellin,3,1268721,1,2,8,vida nocturna,cultura
10,28,Medellin,8,1875143,0,3,5,vida nocturna,deporte
10,24,Medellin,6,822248,0,3,5,vida nocturna,cultura
10,26,Medellin,4,1207979,1,3,5,vida nocturna,deporte
10,18,Medellin,3,1693746,1,3,5,musica,deporte
10,24,Medellin,7,660817,0,4,5,vida nocturna,deporte
10,32,Medellin,3,895564,0,3,5,vida nocturna,deporte
9,27,Medellin,6,556370,0,4,7,vida nocturna,deporte
9,18,Medellin,4,1265671,1,3,7,vida nocturna,cultura
10,21,Medellin,8,774226,0,3,5,vida nocturna,deporte
9,22,Medellin,4,1823156,1,3,7,vida nocturna,deporte
10,21,Medellin,9,565822,0,4,5,vida nocturna,cultura
9,33,Medellin,9,1987213,0,3,7,vida nocturna,cultura
10,25,Medellin,9,1799229,0,3,5,vida nocturna,cultura
10,28,Medellin,10,1981282,0,3,5,vida nocturna,cultura
10,34,Medellin,4,1783618,1,3,5,musica,cultura
10,26,Medellin,5,1254688,1,3,5,vida nocturna,deporte
10,18,Medellin,8,1252768,0,3,5,musica,cultura
10,29,Medellin,5,1802993,1,3,5,musica,deporte
9,32,Medellin,7,874791,0,3,7,vida nocturna,deporte
10,32,Medellin,10,2084877,0,3,5,musica,deporte
9,29,Medellin,9,1535106,0,3,8,vida nocturna,cultura
10,22,Medellin,3,1843794,1,3,5,vida nocturna,cultura
10,19,Medellin,8,769871,0,3,5,musica,deporte
10,18,Medellin,4,1340808,1,3,5,musica,cultura
9,28,Medellin,6,829910,0,3,7,musica,deporte
9,33,Medellin,8,1976121,0,3,7,vida nocturna,deporte
9,28,Medellin,9,1537952,0,3,8,musica,deporte
10,29,Medellin,4,1642779,1,3,5,musica,cultura
9,33,Medellin,9,593740,0,4,7,vida nocturna,deporte
9,25,Medellin,9,558059,0,4,7,vida nocturna,cultura
9,35,Medellin,10,1188089,0,3,7,musica,cultura
10,32,Medellin,6,1979180,0,3,5,vida nocturna,deporte
10,27,Medellin,8,578694,0,4,5,vida nocturna,deporte
9,27,Medellin,8,1747417,0,3,7,vida nocturna,deporte
9,26,Medellin,9,1783891,0,3,7,musica,cultura
10,21,Medellin,9,1400719,0,3,5,vida nocturna,deporte
10,25,Medellin,5,1268643,1,3,5,vida nocturna,deporte
10,32,Medellin,7,619289,0,4,5,musica,cultura
9,19,Medellin,10,2118486,0,3,7,musica,deporte
