Destino,TIempo hospedaje,Presupuesto,Hospedaje,Transporte,Alimentacion,Interes,Interes 2
Medellin,4,1972896,hotel,bus,fast food,musica,deporte
Medellin,19,1176210,hotel,taxi,saludable,musica,cultura
Medellin,6,1750804,hotel,taxi,saludable,musica,cultura
Medellin,7,1226249,hotel,bus,saludable,vida nocturna,cultura
Medellin,7,1477991,hotel,taxi,saludable,musica,cultura
Medellin,16,1743342,hotel,bus,fast food,vida nocturna,cultura
Medellin,5,992616,hostal,bus,fast food,musica,cultura
Medellin,17,1714281,hotel,bus,saludable,musica,cultura
Medellin,8,1088644,hotel,bus,saludable,musica,cultura
Medellin,16,1754623,hotel,bus,fast food,vida nocturna,cultura
Medellin,5,1530883,hotel,taxi,saludable,musica,deporte
Medellin,19,1250312,hotel,bus,saludable,vida nocturna,cultura
Medellin,9,833095,hostal,pie,fast food,vida nocturna,deporte
Medellin,12,1975443,hotel,bus,saludable,musica,cultura
Medellin,14,1908719,hotel,taxi,fast food,musica,cultura
Medellin,14,1440679,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1143829,hotel,taxi,fast food,musica,deporte
Medellin,16,1153038,hotel,bus,fast food,vida nocturna,deporte
Medellin,20,1925076,hotel,taxi,fast food,musica,cultura
Medellin,17,1997107,hotel,bus,saludable,vida nocturna,cultura
Medellin,17,1935961,hotel,taxi,saludable,vida nocturna,cultura
Medellin,16,1145221,hotel,taxi,fast food,vida nocturna,cultura
Medellin,20,1788352,hotel,bus,saludable,musica,cultura
Medellin,18,1574891,hotel,bus,saludable,musica,cultura
Medellin,4,610762,hostal,pie,saludable,musica,deporte
Medellin,20,1307624,hotel,taxi,fast food,vida nocturna,deporte
Medellin,3,1538424,hotel,taxi,saludable,musica,cultura
Medellin,11,1353960,hotel,taxi,saludable,musica,cultura
Medellin,7,1927414,hotel,taxi,fast food,musica,cultura
Medellin,3,1029166,hotel,bus,saludable,vida nocturna,cultura
Medellin,13,1472694,hotel,taxi,saludable,vida nocturna,deporte
Medellin,10,1404816,hotel,taxi,saludable,musica,deporte
Medellin,20,1995453,hotel,taxi,fast food,vida nocturna,deporte
Medellin,13,1324946,hotel,bus,saludable,vida nocturna,deporte
Medellin,8,1594280,hotel,bus,saludable,vida nocturna,deporte
Medellin,12,1757231,hotel,bus,fast food,musica,cultura
Medellin,14,1089673,hotel,taxi,fast food,vida nocturna,deporte
Medellin,4,1132412,hotel,bus,saludable,musica,cultura
Medellin,16,1120900,hotel,taxi,saludable,musica,cultura
Medellin,6,1069447,hotel,taxi,fast food,musica,deporte
Medellin,16,1971896,hotel,taxi,fast food,musica,deporte
Medellin,13,1135588,hotel,taxi,saludable,vida nocturna,cultura
Medellin,10,1693283,hotel,bus,fast food,vida nocturna,cultura
Medellin,13,1723354,hotel,taxi,fast food,musica,cultura
Medellin,13,1895434,hotel,bus,fast food,musica,cultura
Medellin,10,1591313,hotel,bus,saludable,vida nocturna,deporte
Medellin,6,996768,hostal,bus,fast food,musica,cultura
Medellin,17,1088529,hotel,taxi,fast food,musica,deporte
Medellin,6,1857021,hotel,taxi,saludable,vida nocturna,deporte
Medellin,12,1004269,hotel,taxi,fast food,musica,cultura
Medellin,3,1304292,hotel,bus,saludable,musica,deporte
Medellin,18,1827126,hotel,taxi,fast food,musica,cultura
Medellin,20,1523466,hotel,taxi,saludable,vida nocturna,cultura
Medellin,11,1904707,hotel,bus,fast food,vida nocturna,cultura
Medellin,20,1777197,hotel,taxi,saludable,vida nocturna,cultura
Medellin,6,970587,hostal,bus,saludable,vida nocturna,deporte
Medellin,11,1516696,hotel,taxi,fast food,vida nocturna,deporte
Medellin,20,1134758,hotel,taxi,saludable,musica,deporte
Medellin,11,1591932,hotel,bus,fast food,musica,deporte
Medellin,18,1685892,hotel,taxi,fast food,vida nocturna,cultura
Medellin,16,1652183,hotel,bus,fast food,musica,cultura
Medellin,9,1478889,hotel,bus,saludable,musica,cultura
Medellin,8,1197740,hotel,bus,saludable,musica,deporte
Medellin,7,1375304,hotel,bus,fast food,vida nocturna,cultura
Medellin,14,1062429,hotel,taxi,saludable,musica,cultura
Medellin,20,1857845,hotel,bus,saludable,vida nocturna,cultura
Medellin,4,889002,hostal,bus,fast food,vida nocturna,cultura
Medellin,20,1500455,hotel,taxi,fast food,vida nocturna,cultura
Medellin,6,1827854,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1489514,hotel,bus,saludable,vida nocturna,deporte
Medellin,20,1631086,hotel,taxi,fast food,vida nocturna,deporte
Medellin,19,1901297,hotel,bus,saludable,musica,cultura
Medellin,18,1347326,hotel,taxi,fast food,vida nocturna,deporte
Medellin,14,1140672,hotel,taxi,saludable,musica,cultura
Medellin,5,1145351,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1953447,hotel,taxi,fast food,musica,deporte
Medellin,13,1346839,hotel,bus,fast food,vida nocturna,deporte
Medellin,7,625599,hostal,bus,saludable,vida nocturna,deporte
Medellin,11,1547811,hotel,bus,saludable,musica,cultura
Medellin,13,1575902,hotel,taxi,fast food,vida nocturna,deporte
Medellin,19,1888323,hotel,taxi,fast food,musica,cultura
Medellin,4,1108547,hotel,bus,fast food,vida nocturna,cultura
Medellin,12,1055512,hotel,taxi,fast food,vida nocturna,deporte
Medellin,9,1273972,hotel,bus,fast food,musica,cultura
Medellin,16,1428027,hotel,bus,saludable,vida nocturna,deporte
Medellin,14,1414735,hotel,taxi,fast food,vida nocturna,cultura
Medellin,16,1761252,hotel,taxi,saludable,vida nocturna,cultura
Medellin,13,1329749,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1297592,hotel,bus,fast food,musica,cultura
Medellin,16,1897558,hotel,bus,saludable,vida nocturna,cultura
Medellin,8,1240929,hotel,bus,fast food,musica,deporte
Medellin,11,1463339,hotel,bus,fast food,musica,deporte
Medellin,17,1890884,hotel,bus,saludable,vida nocturna,deporte
Medellin,18,1081541,hotel,bus,saludable,vida nocturna,deporte
Medellin,16,1525460,hotel,bus,fast food,vida nocturna,deporte
Medellin,3,664807,hostal,bus,saludable,vida nocturna,deporte
Medellin,3,832274,hostal,pie,saludable,musica,deporte
Medellin,16,1086140,hotel,taxi,fast food,musica,cultura
Medellin,6,1307581,hotel,bus,fast food,vida nocturna,cultura
Medellin,10,1150489,hotel,bus,fast food,vida nocturna,deporte
Medellin,10,1787775,hotel,taxi,fast food,musica,cultura
Medellin,13,1235099,hotel,bus,saludable,vida nocturna,cultura
Medellin,12,1456005,hotel,taxi,fast food,musica,cultura
Medellin,19,1278036,hotel,bus,saludable,musica,deporte
Medellin,6,1125400,hotel,taxi,fast food,musica,cultura
Medellin,15,1844121,hotel,taxi,saludable,musica,cultura
Medellin,12,1263685,hotel,taxi,saludable,musica,deporte
Medellin,16,1348214,hotel,bus,fast food,musica,cultura
Medellin,6,1853925,hotel,bus,fast food,vida nocturna,deporte
Medellin,4,1997063,hotel,bus,saludable,musica,cultura
Medellin,13,1671202,hotel,bus,saludable,vida nocturna,cultura
Medellin,6,658388,hostal,bus,fast food,musica,cultura
Medellin,6,1695023,hotel,taxi,fast food,musica,deporte
Medellin,10,1387265,hotel,bus,fast food,musica,deporte
Medellin,16,1091115,hotel,bus,saludable,vida nocturna,deporte
Medellin,16,1690621,hotel,taxi,saludable,musica,deporte
Medellin,10,1671201,hotel,taxi,fast food,vida nocturna,cultura
Medellin,15,1485092,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1940735,hotel,taxi,fast food,musica,cultura
Medellin,7,1623271,hotel,taxi,fast food,vida nocturna,deporte
Medellin,4,1289714,hotel,bus,saludable,vida nocturna,cultura
Medellin,6,823635,hostal,pie,fast food,vida nocturna,deporte
Medellin,19,1713602,hotel,taxi,saludable,vida nocturna,deporte
Medellin,20,1534829,hotel,taxi,saludable,musica,cultura
Medellin,3,1681444,hotel,bus,saludable,musica,cultura
Medellin,8,1681100,hotel,bus,fast food,vida nocturna,deporte
Medellin,3,1416775,hotel,bus,saludable,musica,deporte
Medellin,11,1130756,hotel,taxi,fast food,vida nocturna,cultura
Medellin,5,1257717,hotel,taxi,fast food,musica,cultura
Medellin,9,1317287,hotel,taxi,fast food,musica,cultura
Medellin,4,1664626,hotel,taxi,fast food,vida nocturna,deporte
Medellin,14,1783609,hotel,taxi,saludable,musica,cultura
Medellin,11,1953863,hotel,taxi,fast food,musica,deporte
Medellin,11,1534084,hotel,bus,fast food,vida nocturna,deporte
Medellin,11,1328011,hotel,taxi,fast food,vida nocturna,cultura
Medellin,16,1404700,hotel,taxi,fast food,musica,cultura
Medellin,13,1810257,hotel,taxi,saludable,musica,deporte
Medellin,19,1963157,hotel,taxi,fast food,musica,cultura
Medellin,3,1186757,hotel,taxi,saludable,musica,cultura
Medellin,18,1471745,hotel,bus,fast food,musica,cultura
Medellin,10,1479438,hotel,taxi,saludable,musica,deporte
Medellin,13,1894265,hotel,taxi,saludable,vida nocturna,deporte
Medellin,4,1735287,hotel,taxi,saludable,vida nocturna,cultura
Medellin,10,1926142,hotel,taxi,fast food,vida nocturna,deporte
Medellin,3,1911773,hotel,bus,saludable,musica,deporte
Medellin,19,1306706,hotel,taxi,saludable,musica,deporte
Medellin,10,1344293,hotel,taxi,fast food,vida nocturna,cultura
Medellin,13,1166927,hotel,bus,saludable,vida nocturna,deporte
Medellin,6,1532554,hotel,bus,saludable,vida nocturna,cultura
Medellin,10,1132871,hotel,taxi,saludable,musica,deporte
Medellin,8,935516,hostal,pie,saludable,musica,deporte
Medellin,16,1907934,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1941593,hotel,bus,saludable,musica,cultura
Medellin,9,1980983,hotel,taxi,fast food,vida nocturna,cultura
Medellin,6,866814,hostal,bus,saludable,vida nocturna,cultura
Medellin,17,1485924,hotel,taxi,saludable,musica,cultura
Medellin,16,1340271,hotel,taxi,fast food,vida nocturna,cultura
Medellin,19,1083504,hotel,taxi,fast food,vida nocturna,deporte
Medellin,19,1109916,hotel,taxi,saludable,vida nocturna,cultura
Medellin,7,777594,hostal,bus,saludable,vida nocturna,cultura
Medellin,20,1733470,hotel,taxi,fast food,vida nocturna,cultura
Medellin,3,894979,hostal,pie,fast food,musica,deporte
Medellin,12,1837407,hotel,taxi,saludable,musica,deporte
Medellin,9,915260,hostal,bus,saludable,musica,cultura
Medellin,19,1522739,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1151625,hotel,bus,fast food,musica,cultura
Medellin,10,1955601,hotel,taxi,fast food,vida nocturna,cultura
Medellin,6,1646920,hotel,taxi,saludable,vida nocturna,cultura
Medellin,16,1244610,hotel,taxi,saludable,musica,cultura
Medellin,8,786482,hostal,pie,fast food,musica,deporte
Medellin,3,946380,hostal,pie,fast food,vida nocturna,deporte
Medellin,20,1268231,hotel,taxi,fast food,vida nocturna,deporte
Medellin,17,1722009,hotel,bus,fast food,musica,cultura
Medellin,12,1711365,hotel,taxi,saludable,vida nocturna,deporte
Medellin,13,1539857,hotel,bus,fast food,musica,deporte
Medellin,3,630088,hostal,pie,saludable,vida nocturna,deporte
Medellin,5,742542,hostal,pie,fast food,musica,cultura
Medellin,15,1245056,hotel,bus,fast food,vida nocturna,cultura
Medellin,14,1294111,hotel,taxi,fast food,vida nocturna,cultura
Medellin,17,1235857,hotel,taxi,fast food,vida nocturna,cultura
Medellin,11,1028930,hotel,bus,fast food,musica,deporte
Medellin,9,513853,hostal,pie,saludable,vida nocturna,cultura
Medellin,9,1287614,hotel,taxi,fast food,vida nocturna,cultura
Medellin,9,758508,hostal,pie,saludable,musica,cultura
Medellin,4,1086399,hotel,bus,fast food,musica,cultura
Medellin,9,1769685,hotel,bus,saludable,vida nocturna,cultura
Medellin,14,1005920,hotel,taxi,saludable,musica,cultura
Medellin,16,1987851,hotel,taxi,fast food,vida nocturna,deporte
Medellin,10,1687289,hotel,taxi,fast food,musica,cultura
Medellin,6,1907020,hotel,taxi,saludable,musica,cultura
Medellin,20,1367561,hotel,taxi,fast food,vida nocturna,deporte
Medellin,5,625234,hostal,bus,saludable,vida nocturna,deporte
Medellin,17,1558317,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1285653,hotel,bus,fast food,musica,deporte
Medellin,16,1049145,hotel,taxi,fast food,vida nocturna,cultura
Medellin,16,1719099,hotel,bus,fast food,vida nocturna,cultura
Medellin,9,1162265,hotel,taxi,saludable,musica,cultura
Medellin,12,1294078,hotel,taxi,fast food,vida nocturna,cultura
Medellin,4,671338,hostal,pie,saludable,vida nocturna,deporte
Medellin,5,1057937,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,697284,hostal,bus,fast food,vida nocturna,cultura
Medellin,10,1779822,hotel,taxi,fast food,musica,deporte
Medellin,20,1460594,hotel,bus,fast food,musica,cultura
Medellin,7,1303394,hotel,taxi,saludable,vida nocturna,deporte
Medellin,12,1390759,hotel,bus,fast food,vida nocturna,cultura
Medellin,10,1381506,hotel,bus,fast food,musica,cultura
Medellin,20,1421507,hotel,taxi,saludable,vida nocturna,deporte
Medellin,18,1442035,hotel,bus,fast food,musica,deporte
Medellin,13,1995486,hotel,bus,fast food,vida nocturna,cultura
Medellin,13,1652162,hotel,taxi,saludable,vida nocturna,cultura
Medellin,3,697967,hostal,pie,fast food,vida nocturna,deporte
Medellin,12,1199567,hotel,bus,fast food,vida nocturna,cultura
Medellin,8,959743,hostal,bus,saludable,vida nocturna,cultura
Medellin,8,614257,hostal,pie,saludable,vida nocturna,deporte
Medellin,13,1316046,hotel,bus,fast food,vida nocturna,deporte
Medellin,5,504787,hostal,bus,saludable,musica,cultura
Medellin,4,1345517,hotel,bus,saludable,musica,cultura
Medellin,4,1807426,hotel,bus,saludable,musica,cultura
Medellin,7,1009144,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,1094206,hotel,bus,fast food,vida nocturna,deporte
Medellin,20,1620489,hotel,taxi,fast food,musica,cultura
Medellin,6,1569737,hotel,bus,fast food,musica,cultura
Medellin,9,1199987,hotel,bus,saludable,musica,cultura
Medellin,15,1038440,hotel,bus,saludable,musica,cultura
Medellin,14,1757124,hotel,taxi,saludable,musica,cultura
Medellin,13,1441296,hotel,bus,fast food,musica,cultura
Medellin,10,1262806,hotel,taxi,fast food,vida nocturna,cultura
Medellin,6,608481,hostal,bus,fast food,vida nocturna,deporte
Medellin,18,1540340,hotel,taxi,saludable,musica,cultura
Medellin,12,1410752,hotel,bus,fast food,musica,deporte
Medellin,16,1987122,hotel,taxi,saludable,vida nocturna,cultura
Medellin,8,1946236,hotel,bus,saludable,vida nocturna,deporte
Medellin,17,1433188,hotel,bus,fast food,musica,cultura
Medellin,12,1373862,hotel,taxi,fast food,vida nocturna,cultura
Medellin,13,1639354,hotel,bus,fast food,vida nocturna,deporte
Medellin,11,1649128,hotel,bus,fast food,vida nocturna,deporte
Medellin,8,1999311,hotel,taxi,fast food,musica,deporte
Medellin,20,1694308,hotel,taxi,saludable,musica,cultura
Medellin,12,1039327,hotel,bus,fast food,vida nocturna,cultura
Medellin,11,1907159,hotel,taxi,fast food,vida nocturna,cultura
Medellin,8,644231,hostal,bus,saludable,vida nocturna,deporte
Medellin,20,1242181,hotel,bus,saludable,musica,cultura
Medellin,17,1946221,hotel,bus,fast food,vida nocturna,cultura
Medellin,16,1157555,hotel,taxi,saludable,musica,deporte
Medellin,7,1098626,hotel,bus,saludable,vida nocturna,deporte
Medellin,10,1533250,hotel,taxi,fast food,musica,cultura
Medellin,7,1634469,hotel,bus,fast food,musica,deporte
Medellin,19,1274803,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,1957466,hotel,bus,saludable,musica,deporte
Medellin,7,1315269,hotel,bus,fast food,vida nocturna,cultura
Medellin,3,1634577,hotel,bus,fast food,musica,deporte
Medellin,6,1398865,hotel,taxi,fast food,musica,deporte
Medellin,16,1347692,hotel,taxi,fast food,musica,cultura
Medellin,14,1154508,hotel,taxi,fast food,musica,deporte
Medellin,14,1254704,hotel,taxi,saludable,vida nocturna,cultura
Medellin,15,1043908,hotel,bus,saludable,vida nocturna,deporte
Medellin,10,1776890,hotel,bus,saludable,vida nocturna,deporte
Medellin,14,1365509,hotel,taxi,saludable,vida nocturna,deporte
Medellin,7,743766,hostal,bus,saludable,musica,cultura
Medellin,8,623891,hostal,pie,saludable,vida nocturna,deporte
Medellin,15,1857653,hotel,bus,saludable,vida nocturna,cultura
Medellin,3,868503,hostal,pie,saludable,musica,deporte
Medellin,13,1756120,hotel,bus,fast food,musica,deporte
Medellin,15,1444253,hotel,taxi,fast food,musica,deporte
Medellin,15,1768907,hotel,taxi,fast food,vida nocturna,cultura
Medellin,14,1092325,hotel,taxi,fast food,musica,deporte
Medellin,8,1119905,hotel,taxi,fast food,vida nocturna,cultura
Medellin,12,1535116,hotel,taxi,fast food,vida nocturna,cultura
Medellin,3,1554983,hotel,bus,saludable,vida nocturna,cultura
Medellin,11,1411103,hotel,taxi,saludable,musica,cultura
Medellin,10,1087038,hotel,bus,saludable,vida nocturna,cultura
Medellin,20,1962465,hotel,taxi,fast food,musica,cultura
Medellin,7,1853873,hotel,bus,fast food,vida nocturna,cultura
Medellin,12,1139102,hotel,taxi,fast food,musica,deporte
Medellin,10,1156648,hotel,taxi,fast food,musica,deporte
Medellin,9,564175,hostal,bus,fast food,musica,deporte
Medellin,19,1899320,hotel,taxi,saludable,musica,deporte
Medellin,20,1994381,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1076689,hotel,taxi,saludable,musica,cultura
Medellin,15,1842048,hotel,taxi,fast food,musica,deporte
Medellin,19,1180728,hotel,taxi,saludable,vida nocturna,cultura
Medellin,6,1929678,hotel,taxi,fast food,musica,cultura
Medellin,11,1934792,hotel,taxi,saludable,musica,cultura
Medellin,15,1117192,hotel,taxi,saludable,vida nocturna,cultura
Medellin,9,1258160,hotel,bus,fast food,musica,deporte
Medellin,4,1445340,hotel,taxi,fast food,musica,cultura
Medellin,19,1622476,hotel,bus,saludable,musica,deporte
Medellin,7,1258040,hotel,bus,saludable,musica,deporte
Medellin,7,1292176,hotel,bus,saludable,musica,deporte
Medellin,16,1769881,hotel,bus,fast food,vida nocturna,cultura
Medellin,12,1824902,hotel,taxi,fast food,vida nocturna,deporte
Medellin,19,1441293,hotel,bus,saludable,musica,cultura
Medellin,14,1215319,hotel,bus,saludable,musica,deporte
Medellin,17,1139318,hotel,bus,saludable,musica,cultura
Medellin,10,1442477,hotel,bus,fast food,musica,cultura
Medellin,20,1573298,hotel,taxi,saludable,musica,cultura
Medellin,14,1771534,hotel,bus,saludable,vida nocturna,cultura
Medellin,6,1793670,hotel,bus,fast food,vida nocturna,deporte
Medellin,20,1370719,hotel,taxi,fast food,vida nocturna,cultura
Medellin,5,1841720,hotel,taxi,fast food,musica,cultura
Medellin,4,1153829,hotel,taxi,fast food,musica,cultura
Medellin,16,1629197,hotel,bus,fast food,vida nocturna,cultura
Medellin,15,1784551,hotel,taxi,saludable,vida nocturna,cultura
Medellin,20,1408488,hotel,bus,fast food,musica,cultura
Medellin,4,1336819,hotel,bus,saludable,musica,deporte
Medellin,7,908362,hostal,bus,fast food,vida nocturna,deporte
Medellin,12,1199129,hotel,taxi,fast food,vida nocturna,deporte
Medellin,14,1907821,hotel,bus,fast food,vida nocturna,cultura
Medellin,13,1814623,hotel,taxi,saludable,vida nocturna,cultura
Medellin,4,1871864,hotel,taxi,saludable,musica,cultura
Medellin,6,1417361,hotel,bus,saludable,vida nocturna,deporte
Medellin,9,1036620,hotel,taxi,fast food,vida nocturna,cultura
Medellin,20,1292355,hotel,bus,fast food,musica,cultura
Medellin,20,1259678,hotel,taxi,saludable,vida nocturna,deporte
Medellin,13,1966419,hotel,bus,fast food,musica,deporte
Medellin,16,1450209,hotel,bus,saludable,vida nocturna,cultura
Medellin,19,1421679,hotel,taxi,saludable,vida nocturna,cultura
Medellin,7,1430488,hotel,taxi,saludable,vida nocturna,cultura
Medellin,8,548515,hostal,bus,saludable,musica,deporte
Medellin,18,1119616,hotel,bus,saludable,vida nocturna,cultura
Medellin,13,1428759,hotel,taxi,fast food,musica,cultura
Medellin,18,1962835,hotel,taxi,fast food,musica,cultura
Medellin,5,1293069,hotel,taxi,saludable,musica,cultura
Medellin,19,1196210,hotel,taxi,saludable,vida nocturna,cultura
Medellin,19,1043860,hotel,bus,fast food,vida nocturna,deporte
Medellin,9,1370630,hotel,bus,saludable,musica,cultura
Medellin,15,1997686,hotel,taxi,saludable,vida nocturna,deporte
Medellin,9,1869096,hotel,taxi,saludable,vida nocturna,cultura
Medellin,14,1693924,hotel,bus,saludable,musica,deporte
Medellin,18,1002483,hotel,bus,fast food,musica,deporte
Medellin,19,1481126,hotel,taxi,fast food,musica,deporte
Medellin,4,1514604,hotel,bus,saludable,musica,deporte
Medellin,13,1297522,hotel,bus,fast food,vida nocturna,cultura
Medellin,6,1094186,hotel,taxi,saludable,musica,deporte
Medellin,4,1296921,hotel,bus,saludable,musica,deporte
Medellin,20,1370807,hotel,taxi,fast food,musica,cultura
Medellin,6,617493,hostal,pie,saludable,vida nocturna,deporte
Medellin,17,1021756,hotel,taxi,saludable,vida nocturna,cultura
Medellin,18,1460157,hotel,taxi,fast food,vida nocturna,deporte
Medellin,17,1460968,hotel,bus,fast food,musica,deporte
Medellin,10,1517409,hotel,bus,saludable,vida nocturna,deporte
Medellin,19,1266701,hotel,taxi,saludable,vida nocturna,deporte
Medellin,19,1014763,hotel,bus,saludable,musica,cultura
Medellin,8,1010077,hotel,taxi,saludable,vida nocturna,deporte
Medellin,17,1674920,hotel,bus,fast food,vida nocturna,deporte
Medellin,14,1398719,hotel,taxi,saludable,vida nocturna,deporte
Medellin,18,1853864,hotel,bus,fast food,musica,cultura
Medellin,6,1516018,hotel,taxi,saludable,musica,cultura
Medellin,16,1628464,hotel,bus,saludable,musica,deporte
Medellin,19,1455925,hotel,bus,saludable,vida nocturna,cultura
Medellin,11,1296601,hotel,taxi,fast food,musica,deporte
Medellin,19,1004737,hotel,bus,fast food,musica,cultura
Medellin,4,1547247,hotel,taxi,fast food,musica,cultura
Medellin,14,1620139,hotel,bus,saludable,vida nocturna,cultura
Medellin,15,1814340,hotel,taxi,saludable,musica,cultura
Medellin,11,1412691,hotel,taxi,saludable,vida nocturna,deporte
Medellin,8,1186453,hotel,taxi,fast food,vida nocturna,cultura
Medellin,5,511515,hostal,bus,fast food,vida nocturna,cultura
Medellin,15,1644301,hotel,taxi,saludable,vida nocturna,deporte
Medellin,10,1016758,hotel,taxi,saludable,musica,cultura
Medellin,15,1265375,hotel,bus,saludable,vida nocturna,cultura
Medellin,9,582095,hostal,pie,fast food,musica,deporte
Medellin,7,1575546,hotel,taxi,saludable,vida nocturna,cultura
Medellin,8,1702948,hotel,taxi,fast food,vida nocturna,cultura
Medellin,4,789082,hostal,pie,saludable,vida nocturna,deporte
Medellin,3,1360859,hotel,taxi,fast food,musica,deporte
Medellin,8,1714212,hotel,taxi,saludable,musica,cultura
Medellin,19,1554932,hotel,bus,fast food,musica,deporte
Medellin,18,1772332,hotel,bus,fast food,vida nocturna,deporte
Medellin,6,671230,hostal,bus,saludable,vida nocturna,cultura
Medellin,11,1461422,hotel,bus,saludable,musica,deporte
Medellin,17,1852397,hotel,bus,fast food,vida nocturna,cultura
Medellin,5,1917928,hotel,taxi,saludable,vida nocturna,deporte
Medellin,20,1468238,hotel,bus,fast food,musica,cultura
Medellin,9,1587916,hotel,bus,fast food,vida nocturna,cultura
Medellin,20,1489826,hotel,taxi,fast food,vida nocturna,deporte
Medellin,9,1917853,hotel,taxi,fast food,musica,deporte
Medellin,7,560079,hostal,bus,saludable,vida nocturna,deporte
Medellin,16,1257627,hotel,taxi,saludable,vida nocturna,cultura
Medellin,20,1305118,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1624650,hotel,bus,fast food,musica,deporte
Medellin,10,1308514,hotel,taxi,fast food,musica,deporte
Medellin,14,1605777,hotel,taxi,fast food,vida nocturna,deporte
Medellin,10,1079901,hotel,taxi,saludable,musica,cultura
Medellin,19,1901023,hotel,bus,saludable,vida nocturna,deporte
Medellin,4,1708121,hotel,taxi,fast food,musica,cultura
Medellin,20,1793410,hotel,bus,fast food,vida nocturna,deporte
Medellin,13,1084762,hotel,taxi,saludable,vida nocturna,deporte
Medellin,8,1370064,hotel,bus,fast food,vida nocturna,cultura
Medellin,18,1861539,hotel,taxi,fast food,musica,deporte
Medellin,19,1466761,hotel,taxi,fast food,musica,deporte
Medellin,12,1874747,hotel,bus,saludable,musica,deporte
Medellin,18,1798075,hotel,bus,saludable,vida nocturna,deporte
Medellin,17,1868521,hotel,taxi,fast food,vida nocturna,deporte
Medellin,4,1889241,hotel,bus,fast food,musica,deporte
Medellin,10,1137779,hotel,taxi,saludable,vida nocturna,cultura
Medellin,10,1717877,hotel,bus,saludable,musica,deporte
Medellin,15,1953311,hotel,bus,fast food,vida nocturna,cultura
Medellin,15,1337526,hotel,taxi,fast food,musica,cultura
Medellin,20,1751184,hotel,bus,saludable,vida nocturna,cultura
Medellin,11,1909352,hotel,bus,fast food,musica,deporte
Medellin,12,1767793,hotel,taxi,fast food,musica,cultura
Medellin,10,1294380,hotel,bus,fast food,musica,cultura
Medellin,10,1710275,hotel,bus,saludable,vida nocturna,cultura
Medellin,5,576857,hostal,pie,saludable,vida nocturna,deporte
Medellin,15,1558039,hotel,bus,fast food,musica,cultura
Medellin,18,1683175,hotel,bus,fast food,musica,cultura
Medellin,15,1258029,hotel,bus,saludable,musica,cultura
Medellin,6,799962,hostal,bus,fast food,musica,cultura
Medellin,7,1693680,hotel,bus,saludable,vida nocturna,cultura
Medellin,6,1239773,hotel,bus,fast food,vida nocturna,cultura
Medellin,19,1366141,hotel,taxi,saludable,vida nocturna,deporte
Medellin,8,1832882,hotel,bus,fast food,musica,deporte
Medellin,7,1143806,hotel,taxi,saludable,musica,cultura
Medellin,14,1806962,hotel,taxi,fast food,musica,deporte
Medellin,15,1695294,hotel,taxi,saludable,vida nocturna,deporte
Medellin,7,1611962,hotel,bus,fast food,vida nocturna,deporte
Medellin,12,1240638,hotel,bus,fast food,vida nocturna,deporte
Medellin,13,1708353,hotel,taxi,saludable,vida nocturna,cultura
Medellin,16,1296271,hotel,taxi,fast food,musica,deporte
Medellin,17,1118712,hotel,bus,fast food,musica,cultura
Medellin,10,1885952,hotel,bus,saludable,musica,cultura
Medellin,17,1252204,hotel,taxi,fast food,musica,cultura
Medellin,7,1405394,hotel,bus,fast food,musica,deporte
Medellin,18,1543546,hotel,bus,fast food,musica,cultura
Medellin,10,1933238,hotel,taxi,fast food,vida nocturna,cultura
Medellin,15,1953502,hotel,bus,fast food,musica,deporte
Medellin,14,1719619,hotel,taxi,fast food,vida nocturna,deporte
Medellin,20,1298971,hotel,taxi,saludable,vida nocturna,cultura
Medellin,20,1618108,hotel,bus,fast food,musica,deporte
Medellin,19,1473299,hotel,bus,fast food,musica,cultura
Medellin,14,1589579,hotel,taxi,saludable,musica,cultura
Medellin,11,1638861,hotel,taxi,saludable,musica,cultura
Medellin,20,1088399,hotel,taxi,fast food,musica,deporte
Medellin,15,1304827,hotel,bus,saludable,musica,cultura
Medellin,14,1426907,hotel,bus,saludable,musica,deporte
Medellin,10,1503840,hotel,bus,saludable,musica,deporte
Medellin,11,1623089,hotel,taxi,fast food,vida nocturna,cultura
Medellin,18,1295377,hotel,bus,saludable,musica,cultura
Medellin,19,1663098,hotel,bus,fast food,vida nocturna,deporte
Medellin,13,1497121,hotel,taxi,saludable,vida nocturna,deporte
Medellin,5,1517496,hotel,taxi,saludable,vida nocturna,deporte
Medellin,12,1778043,hotel,taxi,saludable,vida nocturna,deporte
Medellin,13,1767758,hotel,bus,fast food,vida nocturna,cultura
